STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUPERVISING_ACTION_CORRESPONDING_ACTIVITY_LOG_ENTRY_REVIEWED,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_STREET_NAME,STOP_LOCATION_BORO_NAME,city,latitude,longitude
279772561,1/1/24,01:58:00,2024,January,Monday,Based on Self Initiated,PO,46,SGT,46,Y,O,P,PSB,1,CPW,1,N,ARREST,N,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),NERVOUS,27,MALE,WHITE HISPANIC,5.11,160,THN,BRO,BLK,(null),CLAY AVE,BRONX,New York,,
279772564,1/1/24,00:48:00,2024,January,Monday,Based on Self Initiated,PO,120,SGT,67,Y,O,(null),(null),1,CPW,3,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),,22,MALE,BLACK,6.1,200,MED,BRO,BLK,BLACK HOODIE SWEATSHIRT,FARRAGUT RD,BROOKLYN,New York,,
279772565,1/1/24,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,17,MALE,WHITE HISPANIC,6,140,THN,BRO,BLK,SCAR ON LIP,,BROOKLYN,New York,,
279772566,1/1/24,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,13,MALE,WHITE HISPANIC,5,120,THN,BRO,BLK,RED JACKET/ RED HAT,,BROOKLYN,New York,,
279772567,1/1/24,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,14,MALE,WHITE HISPANIC,5,120,THN,BRO,BLK,BLACK JACKET,,BROOKLYN,New York,,
279772568,1/1/24,01:10:00,2024,January,Monday,Based on Radio Run,PO,871,SGT,871,Y,S,T,Transit,0,GRAND LARCENY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),NORMAL,17,MALE,WHITE HISPANIC,5.5,130,THN,BRO,BLK,BLACK HAT/ BLACK JACKET,,BROOKLYN,New York,,
279794959,1/1/24,00:44:00,2024,January,Monday,Based on Self Initiated,PO,44,SGT,44,Y,(null),(null),(null),1,CPW,9,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),Y,(null),(null),(null),CALM,20,MALE,BLACK,5.8,140,THN,BRO,BLK,(null),CONCOURSE VLG W,BRONX,New York,,
279794960,1/1/24,00:44:00,2024,January,Monday,Based on Self Initiated,PO,44,SGT,44,Y,(null),(null),(null),2,MENACING,9,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),,(null),MALE,BLACK,6.2,270,HEA,BRO,BLK,(null),CONCOURSE VLG W,BRONX,New York,,
279794965,1/1/24,23:15:00,2024,January,Monday,Based on Radio Run,PO,70,SGT,70,Y,O,P,PSB,1,CPW,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),IRATIC,35,MALE,BLACK,5.8,160,THN,BRO,BLK,(null),FLATBUSH AVE,BROOKLYN,New York,,
279808662,1/1/24,23:35:00,2024,January,Monday,Based on Self Initiated,PO,44,SGT,44,Y,O,(null),(null),2,CPW,26,N,ARREST,Y,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),,20,MALE,BLACK HISPANIC,5.8,140,THN,BRO,BLK,(null),E 170 ST,BRONX,New York,,
279808663,1/1/24,00:00:00,2024,January,Monday,Based on Radio Run,PO,75,SGT,75,Y,O,P,PSB,0,OTHER,14,N,CAR PLATE MATCHED FLEEING VEHICLE THAT DRAGGED MOS. PERP STATED IT WAS HIS VEHICLE ON SCENE.,N,Y,ASSAULT,N,(null),Y,(null),(null),(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),Y,(null),(null),,(null),MALE,BLACK,(null),10,MED,BRO,BLK,NONE,JAMAICA AVE,BROOKLYN,New York,,
279808664,1/2/24,01:05:00,2024,January,Tuesday,Based on Radio Run,PO,78,LT,78,Y,O,(null),(null),2,BURGLARY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),CALM,18,MALE,WHITE HISPANIC,6,160,THN,BRO,BLK,(null),5 AVE,BROOKLYN,New York,,
279808665,1/2/24,01:05:00,2024,January,Tuesday,Based on Radio Run,PO,78,LT,78,Y,O,(null),(null),2,BURGLARY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),CALM,19,MALE,WHITE HISPANIC,5.1,150,THN,BRO,BLK,(null),5 AVE,BROOKLYN,New York,,
279808666,1/2/24,01:05:00,2024,January,Tuesday,Based on Radio Run,PO,78,LT,78,Y,O,(null),(null),2,BURGLARY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),CALM,17,MALE,WHITE,5.1,150,THN,BRO,BLK,(null),5 AVE,BROOKLYN,New York,,
279808667,1/2/24,01:05:00,2024,January,Tuesday,Based on Radio Run,PO,78,LT,78,Y,O,(null),(null),2,BURGLARY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),CALM,18,MALE,WHITE,5.8,140,THN,BRO,BLN,(null),5 AVE,BROOKLYN,New York,,
279808668,1/2/24,01:05:00,2024,January,Tuesday,Based on Radio Run,PO,78,LT,78,Y,O,(null),(null),2,BURGLARY,20,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),CALM,18,MALE,WHITE,5.1,150,THN,BRO,BLK,(null),5 AVE,BROOKLYN,New York,,
279829563,1/1/24,00:42:00,2024,January,Monday,Based on Radio Run,PO,806,SGT,806,Y,(null),H,Housing,1,CPW,4,Y,(null),N,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),INDIVIDUAL WAS COMPLIANT WITH OFFICERS ORDERS.,58,MALE,BLACK,5.9,260,HEA,BRO,BLK,BLACK SHIRT GRAY SWEATPANTS DUFFLE BAG AND GRAY PITBULL,12 AVE,MANHATTAN,New York,,
279829566,1/1/24,00:54:00,2024,January,Monday,Based on Self Initiated,PO,42,SGT,42,Y,O,(null),(null),2,CPW,2,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),NERVOUS,18,MALE,BLACK,6,155,MED,BRO,BLK,(null),REV JAMES A POLITE AVE,BRONX,New York,,
279829568,1/1/24,20:29:00,2024,January,Monday,Based on Radio Run,PO,42,SGT,42,Y,(null),(null),(null),0,CPW,2,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),,(null),MALE,BLACK,(null),(null),(null),BLK,BLD,(null),FREEMAN ST,BRONX,New York,,
279829569,1/1/24,02:02:00,2024,January,Monday,Based on Self Initiated,PO,49,SGT,49,Y,(null),(null),(null),1,CPW,2,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),CALM,16,MALE,BLACK,5.8,150,MED,BRO,BLK,(null),MAGENTA ST,BRONX,New York,,
279829575,1/1/24,02:47:00,2024,January,Monday,Based on Self Initiated,PO,49,SGT,49,Y,(null),(null),(null),1,CPW,1,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),CALM,16,MALE,BLACK,5.6,150,THN,BRO,BLK,(null),ARNOW AVE,BRONX,New York,,
